iso_code,name,region
USA,United States,North America
GBR,United Kingdom,Europe
FRA,France,Europe
DEU,Germany,Europe
ITA,Italy,Europe
CAN,Canada,North America
POL,Poland,Europe
NOR,Norway,Europe
ESP,Spain,Europe
TUR,Turkey,Europe
NLD,Netherlands,Europe
BEL,Belgium,Europe
JPN,Japan,East Asia
KOR,South Korea,East Asia
AUS,Australia,Oceania
PRK,North Korea,East Asia
CHN,China,East Asia
RUS,Russia,Europe/Asia
IRN,Iran,Middle East
BLR,Belarus,Europe
KAZ,Kazakhstan,Central Asia
ARM,Armenia,Caucasus
KGZ,Kyrgyzstan,Central Asia
TJK,Tajikistan,Central Asia
IND,India,South Asia
UKR,Ukraine,Europe
SAU,Saudi Arabia,Middle East
TWN,Taiwan,East Asia
VNM,Vietnam,Southeast Asia
MEX,Mexico,North America
THA,Thailand,Southeast Asia
BRA,Brazil,South America
